episodeId,personId,characterId,roleName,sourceUrl
episode-036,person-273,character-152,Lt. Cedric Daniels,https://www.tvmaze.com/shows/179/the-wire
episode-036,person-274,character-153,"Det. Shakima ""Kima"" Greggs",https://www.tvmaze.com/shows/179/the-wire
episode-036,person-275,character-154,"Off. James ""Jimmy"" McNulty",https://www.tvmaze.com/shows/179/the-wire
episode-036,person-276,character-155,Det. Lester Freamon,https://www.tvmaze.com/shows/179/the-wire
episode-036,person-277,character-156,"Det. Thomas ""Herc"" Hauk",https://www.tvmaze.com/shows/179/the-wire
episode-037,person-292,character-157,Tony Soprano,https://www.tvmaze.com/shows/527/the-sopranos
episode-037,person-293,character-158,Carmela Soprano,https://www.tvmaze.com/shows/527/the-sopranos
episode-037,person-294,character-159,Christopher Moltisanti,https://www.tvmaze.com/shows/527/the-sopranos
episode-037,person-295,character-160,Silvio Dante,https://www.tvmaze.com/shows/527/the-sopranos
episode-037,person-296,character-161,Paulie 'Walnuts' Gualtieri,https://www.tvmaze.com/shows/527/the-sopranos
episode-038,person-292,character-157,Tony Soprano,https://www.tvmaze.com/shows/527/the-sopranos
episode-038,person-293,character-158,Carmela Soprano,https://www.tvmaze.com/shows/527/the-sopranos
episode-038,person-294,character-159,Christopher Moltisanti,https://www.tvmaze.com/shows/527/the-sopranos
episode-038,person-295,character-160,Silvio Dante,https://www.tvmaze.com/shows/527/the-sopranos
episode-038,person-296,character-161,Paulie 'Walnuts' Gualtieri,https://www.tvmaze.com/shows/527/the-sopranos
episode-039,person-292,character-157,Tony Soprano,https://www.tvmaze.com/shows/527/the-sopranos
episode-039,person-293,character-158,Carmela Soprano,https://www.tvmaze.com/shows/527/the-sopranos
episode-039,person-294,character-159,Christopher Moltisanti,https://www.tvmaze.com/shows/527/the-sopranos
episode-039,person-295,character-160,Silvio Dante,https://www.tvmaze.com/shows/527/the-sopranos
episode-039,person-296,character-161,Paulie 'Walnuts' Gualtieri,https://www.tvmaze.com/shows/527/the-sopranos
episode-040,person-292,character-157,Tony Soprano,https://www.tvmaze.com/shows/527/the-sopranos
episode-040,person-293,character-158,Carmela Soprano,https://www.tvmaze.com/shows/527/the-sopranos
episode-040,person-294,character-159,Christopher Moltisanti,https://www.tvmaze.com/shows/527/the-sopranos
episode-040,person-295,character-160,Silvio Dante,https://www.tvmaze.com/shows/527/the-sopranos
episode-040,person-296,character-161,Paulie 'Walnuts' Gualtieri,https://www.tvmaze.com/shows/527/the-sopranos
episode-041,person-292,character-157,Tony Soprano,https://www.tvmaze.com/shows/527/the-sopranos
episode-041,person-293,character-158,Carmela Soprano,https://www.tvmaze.com/shows/527/the-sopranos
episode-041,person-294,character-159,Christopher Moltisanti,https://www.tvmaze.com/shows/527/the-sopranos
episode-041,person-295,character-160,Silvio Dante,https://www.tvmaze.com/shows/527/the-sopranos
episode-041,person-296,character-161,Paulie 'Walnuts' Gualtieri,https://www.tvmaze.com/shows/527/the-sopranos
episode-042,person-292,character-157,Tony Soprano,https://www.tvmaze.com/shows/527/the-sopranos
episode-042,person-293,character-158,Carmela Soprano,https://www.tvmaze.com/shows/527/the-sopranos
episode-042,person-294,character-159,Christopher Moltisanti,https://www.tvmaze.com/shows/527/the-sopranos
episode-042,person-295,character-160,Silvio Dante,https://www.tvmaze.com/shows/527/the-sopranos
episode-042,person-296,character-161,Paulie 'Walnuts' Gualtieri,https://www.tvmaze.com/shows/527/the-sopranos
episode-043,person-292,character-157,Tony Soprano,https://www.tvmaze.com/shows/527/the-sopranos
episode-043,person-293,character-158,Carmela Soprano,https://www.tvmaze.com/shows/527/the-sopranos
episode-043,person-294,character-159,Christopher Moltisanti,https://www.tvmaze.com/shows/527/the-sopranos
episode-043,person-295,character-160,Silvio Dante,https://www.tvmaze.com/shows/527/the-sopranos
episode-043,person-296,character-161,Paulie 'Walnuts' Gualtieri,https://www.tvmaze.com/shows/527/the-sopranos
episode-044,person-292,character-157,Tony Soprano,https://www.tvmaze.com/shows/527/the-sopranos
episode-044,person-293,character-158,Carmela Soprano,https://www.tvmaze.com/shows/527/the-sopranos
episode-044,person-294,character-159,Christopher Moltisanti,https://www.tvmaze.com/shows/527/the-sopranos
episode-044,person-295,character-160,Silvio Dante,https://www.tvmaze.com/shows/527/the-sopranos
episode-044,person-296,character-161,Paulie 'Walnuts' Gualtieri,https://www.tvmaze.com/shows/527/the-sopranos
episode-045,person-292,character-157,Tony Soprano,https://www.tvmaze.com/shows/527/the-sopranos
episode-045,person-293,character-158,Carmela Soprano,https://www.tvmaze.com/shows/527/the-sopranos
episode-045,person-294,character-159,Christopher Moltisanti,https://www.tvmaze.com/shows/527/the-sopranos
episode-045,person-295,character-160,Silvio Dante,https://www.tvmaze.com/shows/527/the-sopranos
episode-045,person-296,character-161,Paulie 'Walnuts' Gualtieri,https://www.tvmaze.com/shows/527/the-sopranos
episode-046,person-292,character-157,Tony Soprano,https://www.tvmaze.com/shows/527/the-sopranos
episode-046,person-293,character-158,Carmela Soprano,https://www.tvmaze.com/shows/527/the-sopranos
episode-046,person-294,character-159,Christopher Moltisanti,https://www.tvmaze.com/shows/527/the-sopranos
episode-046,person-295,character-160,Silvio Dante,https://www.tvmaze.com/shows/527/the-sopranos
episode-046,person-296,character-161,Paulie 'Walnuts' Gualtieri,https://www.tvmaze.com/shows/527/the-sopranos
episode-047,person-292,character-157,Tony Soprano,https://www.tvmaze.com/shows/527/the-sopranos
episode-047,person-293,character-158,Carmela Soprano,https://www.tvmaze.com/shows/527/the-sopranos
