id,seriesId,seasonId,title,seasonNumber,episodeNumber,year,runtime,rating,ratingSource,description,tvmazeId,sourceUrl
episode-110,series-010,season-028,Pilot,1,2,2004,60,8.9,TVmaze average rating,"The discovery of a transceiver among the plane's wreckage and the thought that rescue could be imminent temporarily raises the castaways' spirits. And the island's mysteries continue to baffle with the discovery of handcuffs, a gun and an animal that shouldn't be able to survive in a tropical climate.",10141,https://www.tvmaze.com/episodes/10141/lost-1x02-pilot
episode-111,series-010,season-028,Tabula Rasa,1,3,2004,60,7.7,TVmaze average rating,"Jack and Hurley discover an alarming secret about Kate, as the marshal's life hangs in the balance. Meanwhile Kate, Charlie, Sawyer, Sayid, Boone and Shannon ponder the island's mysteries they've uncovered and worry that telling the other survivors will cause panic, and Locke's befriending of Walt disturbs Michael.",10142,https://www.tvmaze.com/episodes/10142/lost-1x03-tabula-rasa
episode-112,series-010,season-028,Walkabout,1,4,2004,60,8.7,TVmaze average rating,"Survivors are jolted awake in the middle of the night when wild island beasts invade the beach encampment. Kate and Michael join the mysterious Locke on a hunt for food -- and a shocking secret about Locke is revealed. Meanwhile, some survivors are horrified by Jack's plan for the dead bodies still scattered among the wreckage, and Jack sees someone in the jungle who might not have been on the plane.",10143,https://www.tvmaze.com/episodes/10143/lost-1x04-walkabout
episode-113,series-010,season-029,"Man of Science, Man of Faith",2,1,2005,60,8.6,TVmaze average rating,"In the season premiere episode, ""Man of Science, Man of Faith,"" one of the castaways is chosen to descend into the mysterious hatch, and Shannon stumbles upon a shockingly familiar face in the jungle.",10165,https://www.tvmaze.com/episodes/10165/lost-2x01-man-of-science-man-of-faith
episode-114,series-010,season-029,Adrift,2,2,2005,60,7.5,TVmaze average rating,"With the abduction of Walt fresh on their minds and their raft destroyed, Michael, Sawyer and Jin fight for their lives and discover a new predator in the roiling ocean. Meanwhile on land, Locke must descend into the hatch when one castaway goes missing inside.",10166,https://www.tvmaze.com/episodes/10166/lost-2x02-adrift
episode-115,series-010,season-029,Orientation,2,3,2005,60,8.2,TVmaze average rating,"Jack, Locke and Kate learn more secrets about the hatch. Meanwhile, after being beaten and taken captive, Sawyer, Michael and Jin wonder if their captors are fellow survivors or the dreaded ""Others.""",10167,https://www.tvmaze.com/episodes/10167/lost-2x03-orientation
episode-116,series-010,season-029,Everybody Hates Hugo,2,4,2005,60,7.4,TVmaze average rating,"Disturbing memories from Hurley's past cause him to struggle with a task he's assigned inside the hatch. Meanwhile Sawyer, Michael and Jin discover the identities of their captors, and Claire uncovers a shocking piece of information about the fate of the raft.",10168,https://www.tvmaze.com/episodes/10168/lost-2x04-everybody-hates-hugo
episode-117,series-010,season-030,A Tale of Two Cities,3,1,2006,60,7.8,TVmaze average rating,"In the season premiere episode, ""A Tale of Two Cities"", Jack, Kate and Sawyer begin to discover what they are up against as prisoners of ""The Others"".",10189,https://www.tvmaze.com/episodes/10189/lost-3x01-a-tale-of-two-cities
episode-118,series-010,season-030,The Glass Ballerina,3,2,2006,60,7.0,TVmaze average rating,"Jin, Sun and Sayid worry when Jack, Kate and Sawyer make no contact with them after they have lit the signal fire. Meanwhile, the Others realize that the survivors have acquired a sailboat.",10190,https://www.tvmaze.com/episodes/10190/lost-3x02-the-glass-ballerina
episode-119,series-010,season-030,Further Instructions,3,3,2006,60,6.9,TVmaze average rating,"The fates of Locke, Eko and Desmond are revealed after the implosion of the hatch, while Hurley returns to the beach camp to tell the tale of what happened when he, Jack, Kate and Sawyer encountered ""The Others"".",10191,https://www.tvmaze.com/episodes/10191/lost-3x03-further-instructions
episode-120,series-010,season-030,Every Man for Himself,3,4,2006,60,7.4,TVmaze average rating,"Sawyer's rebellious attitude causes Ben and the Others to conjure a plan to keep him in check. At the beach, Desmond starts to mysteriously seek certain items for some kind of construction",10192,https://www.tvmaze.com/episodes/10192/lost-3x04-every-man-for-himself
