movieId,personId,characterId,roleName,sourceUrl
movie-023,person-162,character-059,Lando Calrissian,https://www.wikidata.org/wiki/Q181795
movie-028,person-155,character-052,Han Solo,https://www.wikidata.org/wiki/Q17738
movie-028,person-156,character-053,Obi-Wan Kenobi,https://www.wikidata.org/wiki/Q17738
movie-028,person-157,character-054,Princess Leia,https://www.wikidata.org/wiki/Q17738
movie-028,person-158,character-055,Darth Vader,https://www.wikidata.org/wiki/Q17738
movie-028,person-163,character-055,Darth Vader,https://www.wikidata.org/wiki/Q17738
movie-028,person-159,character-056,Luke Skywalker,https://www.wikidata.org/wiki/Q17738
movie-028,person-164,character-060,Wilhuff Tarkin,https://www.wikidata.org/wiki/Q17738
movie-028,person-165,character-061,Owen Lars,https://www.wikidata.org/wiki/Q17738
movie-011,person-166,character-062,Gimli,https://www.wikidata.org/wiki/Q127367
movie-011,person-149,character-063,Elrond,https://www.wikidata.org/wiki/Q127367
movie-011,person-167,character-064,Legolas,https://www.wikidata.org/wiki/Q127367
movie-011,person-168,character-065,Galadriel,https://www.wikidata.org/wiki/Q127367
movie-011,person-169,character-066,Meriadoc Brandybuck,https://www.wikidata.org/wiki/Q127367
movie-011,person-170,character-067,Arwen,https://www.wikidata.org/wiki/Q127367
movie-011,person-171,character-068,Gandalf,https://www.wikidata.org/wiki/Q127367
movie-011,person-172,character-069,Aragorn,https://www.wikidata.org/wiki/Q127367
movie-012,person-167,character-064,Legolas,https://www.wikidata.org/wiki/Q131074
movie-012,person-168,character-065,Galadriel,https://www.wikidata.org/wiki/Q131074
movie-012,person-173,character-070,Éomer,https://www.wikidata.org/wiki/Q131074
movie-012,person-169,character-066,Meriadoc Brandybuck,https://www.wikidata.org/wiki/Q131074
movie-012,person-170,character-067,Arwen,https://www.wikidata.org/wiki/Q131074
movie-012,person-172,character-069,Aragorn,https://www.wikidata.org/wiki/Q131074
movie-012,person-174,character-071,Saruman,https://www.wikidata.org/wiki/Q131074
movie-012,person-175,character-072,Samwise Gamgee,https://www.wikidata.org/wiki/Q131074
movie-017,person-166,character-062,Gimli,https://www.wikidata.org/wiki/Q164963
movie-017,person-166,character-073,Treebeard,https://www.wikidata.org/wiki/Q164963
movie-017,person-149,character-063,Elrond,https://www.wikidata.org/wiki/Q164963
movie-017,person-167,character-064,Legolas,https://www.wikidata.org/wiki/Q164963
movie-017,person-168,character-065,Galadriel,https://www.wikidata.org/wiki/Q164963
movie-017,person-173,character-070,Éomer,https://www.wikidata.org/wiki/Q164963
movie-017,person-169,character-066,Meriadoc Brandybuck,https://www.wikidata.org/wiki/Q164963
movie-017,person-170,character-067,Arwen,https://www.wikidata.org/wiki/Q164963
movie-029,person-176,character-074,Mal,https://www.wikidata.org/wiki/Q25188
movie-029,person-177,character-075,Dominick Cobb,https://www.wikidata.org/wiki/Q25188
movie-029,person-178,character-076,Ariadne,https://www.wikidata.org/wiki/Q25188
movie-029,person-179,character-077,Arthur,https://www.wikidata.org/wiki/Q25188
movie-029,person-120,character-078,Robert Fischer,https://www.wikidata.org/wiki/Q25188
movie-029,person-180,character-079,Eames,https://www.wikidata.org/wiki/Q25188
movie-029,person-181,character-080,Saito,https://www.wikidata.org/wiki/Q25188
movie-029,person-182,character-079,Eames,https://www.wikidata.org/wiki/Q25188
movie-002,person-183,character-081,Amelia Brand,https://www.wikidata.org/wiki/Q13417189
movie-002,person-184,character-082,Murphy Cooper,https://www.wikidata.org/wiki/Q13417189
movie-002,person-185,character-083,CASE,https://www.wikidata.org/wiki/Q13417189
movie-002,person-117,character-084,John Brand,https://www.wikidata.org/wiki/Q13417189
